Ferret ID,DI/RC,DI/RC Pair,Inoculum dose,Day P.I. ,NW Titer (TCID50/mL),donor_dose
9694,DI,5109,10^6,1,5.2,
5342,DI,5343,10^6,1,6.45,
5428,DI,5429,10^6,1,6.7,
5430,DI,5439,10^6,1,6.7,
5109,RC,9694,,2,0.5,10^6
5343,RC,5342,,2,0.5,10^6
5429,RC,5428,,2,0.5,10^6
5439,RC,5430,,2,1.5,10^6
9694,DI,5109,10^6,3,3.95,
5342,DI,5343,10^6,3,4.45,
5428,DI,5429,10^6,3,3.95,
5430,DI,5439,10^6,3,3.7,
5109,RC,9694,,4,5.95,10^6
5343,RC,5342,,4,4.45,10^6
5429,RC,5428,,4,4.2,10^6
5439,RC,5430,,4,6.2,10^6
9694,DI,5109,10^6,5,3.45,
5342,DI,5343,10^6,5,5.2,
5428,DI,5429,10^6,5,4.45,
5430,DI,5439,10^6,5,3.2,
5109,RC,9694,,6,4.7,10^6
5343,RC,5342,,6,5.7,10^6
5429,RC,5428,,6,5.2,10^6
5439,RC,5430,,6,3.95,10^6
9694,DI,5109,10^6,7,2.2,
5342,DI,5343,10^6,7,2.2,
5428,DI,5429,10^6,7,0.5,
5430,DI,5439,10^6,7,0.5,
5109,RC,9694,,8,4.7,10^6
5343,RC,5342,,8,5.45,10^6
5429,RC,5428,,8,4.45,10^6
5439,RC,5430,,8,3.45,10^6
9694,DI,5109,10^6,9,0.5,
5342,DI,5343,10^6,9,0.5,
5428,DI,5429,10^6,9,0.5,
5430,DI,5439,10^6,9,0.5,
5109,RC,9694,,10,0.5,10^6
5343,RC,5342,,10,0.5,10^6
5429,RC,5428,,10,2.2,10^6
5439,RC,5430,,10,1.2,10^6
9694,DI,5109,10^6,11,0.5,
5342,DI,5343,10^6,11,0.5,
5428,DI,5429,10^6,11,0.5,
5430,DI,5439,10^6,11,0.5,
5109,RC,9694,,12,0.5,10^6
5343,RC,5342,,12,0.5,10^6
5429,RC,5428,,12,0.5,10^6
5439,RC,5430,,12,0.5,10^6
5444,DI,5445,10^4,1,3.45,
5446,DI,5448,10^4,1,4.45,
5432,DI,5433,10^4,1,4.95,
5440,DI,5441,10^4,1,4.2,
5445,RC,5444,,2,0.5,10^4
5448,RC,5446,,2,0.5,10^4
5433,RC,5432,,2,0.5,10^4
5441,RC,5440,,2,0.5,10^4
5444,DI,5445,10^4,3,4.95,
5446,DI,5448,10^4,3,4.95,
5432,DI,5433,10^4,3,4.2,
5440,DI,5441,10^4,3,4.2,
5445,RC,5444,,4,5.7,10^4
5448,RC,5446,,4,5.2,10^4
5433,RC,5432,,4,5.95,10^4
5441,RC,5440,,4,6.2,10^4
5444,DI,5445,10^4,5,4.7,
5446,DI,5448,10^4,5,3.45,
5432,DI,5433,10^4,5,4.2,
5440,DI,5441,10^4,5,4.45,
5445,RC,5444,,6,2.95,10^4
5448,RC,5446,,6,3.7,10^4
5433,RC,5432,,6,5.2,10^4
5441,RC,5440,,6,4.45,10^4
5444,DI,5445,10^4,7,2.2,
5446,DI,5448,10^4,7,2.2,
5432,DI,5433,10^4,7,1.5,
5440,DI,5441,10^4,7,1.2,
5445,RC,5444,,8,3.7,10^4
5448,RC,5446,,8,3.2,10^4
5433,RC,5432,,8,2.45,10^4
5441,RC,5440,,8,3.95,10^4
5444,DI,5445,10^4,9,0.5,
5446,DI,5448,10^4,9,0.5,
5432,DI,5433,10^4,9,1.7,
5440,DI,5441,10^4,9,0.5,
5445,RC,5444,,10,0.5,10^4
5448,RC,5446,,10,2.2,10^4
5433,RC,5432,,10,0.5,10^4
