Ferret ID,DI/RC,DI/RC Pair,Inoculum dose,Day P.I. ,NW Titer (TCID50/mL),donor_dose
1401,DI,1408,10^6,1,4.45,
2120,DI,2124,10^6,1,3.7,
2118,DI,2119,10^6,1,1.5,
2103,DI,2104,10^6,1,1.5,
1408,RC,1401,,2,0.5,10^6
2124,RC,2120,,2,1,10^6
2119,RC,2118,,2,0.5,10^6
2104,RC,2103,,2,0.5,10^6
1401,DI,1408,10^6,3,4.95,
2120,DI,2124,10^6,3,4.2,
2118,DI,2119,10^6,3,3.95,
2103,DI,2104,10^6,3,4.2,
1408,RC,1401,,4,0.5,10^6
2124,RC,2120,,4,0.5,10^6
2119,RC,2118,,4,0.5,10^6
2104,RC,2103,,4,0.5,10^6
1401,DI,1408,10^6,5,4.2,
2120,DI,2124,10^6,5,3.95,
2118,DI,2119,10^6,5,4.2,
2103,DI,2104,10^6,5,4.7,
1408,RC,1401,,6,0.5,10^6
2124,RC,2120,,6,0.5,10^6
2119,RC,2118,,6,0.5,10^6
2104,RC,2103,,6,5.2,10^6
1401,DI,1408,10^6,7,0.5,
2120,DI,2124,10^6,7,0.5,
2118,DI,2119,10^6,7,0.5,
2103,DI,2104,10^6,7,0.5,
1408,RC,1401,,8,4.95,10^6
2124,RC,2120,,8,1.95,10^6
2119,RC,2118,,8,0.5,10^6
2104,RC,2103,,8,3.7,10^6
1401,DI,1408,10^6,9,0.5,
2120,DI,2124,10^6,9,0.5,
2118,DI,2119,10^6,9,0.5,
2103,DI,2104,10^6,9,0.5,
1408,RC,1401,,10,3.7,10^6
2124,RC,2120,,10,4.45,10^6
2119,RC,2118,,10,0.5,10^6
2104,RC,2103,,10,4.2,10^6
1401,DI,1408,10^6,11,0.5,
2120,DI,2124,10^6,11,0.5,
2118,DI,2119,10^6,11,0.5,
2103,DI,2104,10^6,11,0.5,
1408,RC,1401,,12,1,10^6
2124,RC,2120,,12,0.5,10^6
2119,RC,2118,,12,0.5,10^6
2104,RC,2103,,12,0.5,10^6
F6321,DI,F6322,10^4,1,1.95,
F6323,DI,F6324,10^4,1,1.45,
F6333,DI,F6334,10^4,1,2.2,
F6335,DI,F6336,10^4,1,0.5,
F6322,RC,F6321,,2,0.5,10^4
F6324,RC,F6323,,2,0.5,10^4
F6334,RC,F6333,,2,0.5,10^4
F6336,RC,F6335,,2,0.5,10^4
F6321,DI,F6322,10^4,3,2.7,
F6323,DI,F6324,10^4,3,2.45,
F6333,DI,F6334,10^4,3,2.7,
F6335,DI,F6336,10^4,3,2.7,
F6322,RC,F6321,,4,1.45,10^4
F6324,RC,F6323,,4,0.5,10^4
F6334,RC,F6333,,4,0.5,10^4
F6336,RC,F6335,,4,1.45,10^4
F6321,DI,F6322,10^4,5,3.95,
F6323,DI,F6324,10^4,5,3.95,
F6333,DI,F6334,10^4,5,3.7,
F6335,DI,F6336,10^4,5,NA,
F6322,RC,F6321,,6,4.45,10^4
F6324,RC,F6323,,6,2.2,10^4
F6334,RC,F6333,,6,1.7,10^4
F6336,RC,F6335,,6,3.2,10^4
F6321,DI,F6322,10^4,7,0.5,
F6323,DI,F6324,10^4,7,0.5,
F6333,DI,F6334,10^4,7,0.5,
F6335,DI,F6336,10^4,7,0.5,
F6322,RC,F6321,,8,4.2,10^4
F6324,RC,F6323,,8,2.2,10^4
F6334,RC,F6333,,8,3.2,10^4
F6336,RC,F6335,,8,2.45,10^4
F6321,DI,F6322,10^4,9,0.5,
F6323,DI,F6324,10^4,9,0.5,
F6333,DI,F6334,10^4,9,2.2,
F6335,DI,F6336,10^4,9,1.45,
F6322,RC,F6321,,10,0.5,10^4
F6324,RC,F6323,,10,0.5,10^4
F6334,RC,F6333,,10,0.5,10^4
F6336,RC,F6335,,10,0.5,10^4
F6321,DI,F6322,10^4,11,0.5,
F6323,DI,F6324,10^4,11,0.5,
F6333,DI,F6334,10^4,11,0.5,
F6335,DI,F6336,10^4,11,0.5,
F6322,RC,F6321,,12,0.5,10^4
F6324,RC,F6323,,12,0.5,10^4
F6334,RC,F6333,,12,0.5,10^4
F6336,RC,F6335,,12,0.5,10^4
F6321,DI,F6322,10^4,13,0.5,
F6323,DI,F6324,10^4,13,0.5,
F6333,DI,F6334,10^4,13,0.5,
F6335,DI,F6336,10^4,13,0.5,
F6322,RC,F6321,,14,0.5,10^4
F6324,RC,F6323,,14,0.5,10^4
F6334,RC,F6333,,14,0.5,10^4
F6336,RC,F6335,,14,0.5,10^4
7436,DI,7439,10^3,1,0.5,
7440,DI,7441,10^3,1,0.5,
7420,DI,7425,10^3,1,0.5,
7428,DI,7429,10^3,1,0.5,
7439,RC,7436,,2,0.5,10^3
7441,RC,7440,,2,0.5,10^3
7425,RC,7420,,2,0.5,10^3
7429,RC,7428,,2,0.5,10^3
7436,DI,7439,10^3,3,2.45,
7440,DI,7441,10^3,3,2.2,
7420,DI,7425,10^3,3,0.5,
7428,DI,7429,10^3,3,1.5,
7439,RC,7436,,4,0.5,10^3
7441,RC,7440,,4,0.5,10^3
7425,RC,7420,,4,0.5,10^3
7429,RC,7428,,4,0.5,10^3
7436,DI,7439,10^3,5,2.7,
7440,DI,7441,10^3,5,2.45,
7420,DI,7425,10^3,5,1.5,
7428,DI,7429,10^3,5,1.5,
7439,RC,7436,,6,0.5,10^3
7441,RC,7440,,6,0.5,10^3
7425,RC,7420,,6,0.5,10^3
7429,RC,7428,,6,0.5,10^3
7436,DI,7439,10^3,7,0.5,
7440,DI,7441,10^3,7,1.7,
7420,DI,7425,10^3,7,0.5,
7428,DI,7429,10^3,7,1,
7439,RC,7436,,8,0.5,10^3
7441,RC,7440,,8,0.5,10^3
7425,RC,7420,,8,0.5,10^3
7429,RC,7428,,8,1.5,10^3
7436,DI,7439,10^3,9,2.2,
7440,DI,7441,10^3,9,0.5,
7420,DI,7425,10^3,9,0.5,
7428,DI,7429,10^3,9,0.5,
7439,RC,7436,,10,0.5,10^3
7441,RC,7440,,10,0.5,10^3
7425,RC,7420,,10,0.5,10^3
7429,RC,7428,,10,0.5,10^3
7436,DI,7439,10^3,11,0.5,
7440,DI,7441,10^3,11,0.5,
7420,DI,7425,10^3,11,0.5,
7428,DI,7429,10^3,11,0.5,
7439,RC,7436,,12,0.5,10^3
7441,RC,7440,,12,0.5,10^3
7425,RC,7420,,12,0.5,10^3
7429,RC,7428,,12,0.5,10^3
7436,DI,7439,10^3,13,0.5,
7440,DI,7441,10^3,13,0.5,
7420,DI,7425,10^3,13,0.5,
7428,DI,7429,10^3,13,0.5,
7439,RC,7436,,14,0.5,10^3
7441,RC,7440,,14,0.5,10^3
7425,RC,7420,,14,0.5,10^3
7429,RC,7428,,14,0.5,10^3
F6313,DI,F6314,10^2,1,0.5,
671,DI,626,10^2,1,0.5,
F6327,DI,F6328,10^2,1,0.5,
F6329,DI,F6330,10^2,1,0.5,
F6314,RC,F6313,,2,0.5,10^2
626,RC,671,,2,1.95,10^2
F6328,RC,F6327,,2,0.5,10^2
F6330,RC,F6329,,2,0.5,10^2
F6313,DI,F6314,10^2,3,3.45,
671,DI,626,10^2,3,3.45,
F6327,DI,F6328,10^2,3,3.7,
F6329,DI,F6330,10^2,3,5.2,
F6314,RC,F6313,,4,0.5,10^2
626,RC,671,,4,0.5,10^2
F6328,RC,F6327,,4,0.5,10^2
F6330,RC,F6329,,4,0.5,10^2
F6313,DI,F6314,10^2,5,3.7,
671,DI,626,10^2,5,2.7,
F6327,DI,F6328,10^2,5,2.45,
F6329,DI,F6330,10^2,5,4.2,
F6314,RC,F6313,,6,0.5,10^2
626,RC,671,,6,2.45,10^2
F6328,RC,F6327,,6,0.5,10^2
F6330,RC,F6329,,6,0.5,10^2
F6313,DI,F6314,10^2,7,0.5,
671,DI,626,10^2,7,1.7,
F6327,DI,F6328,10^2,7,1.45,
F6329,DI,F6330,10^2,7,0.5,
F6314,RC,F6313,,8,0.5,10^2
626,RC,671,,8,2.7,10^2
F6328,RC,F6327,,8,0.5,10^2
F6330,RC,F6329,,8,2.45,10^2
F6313,DI,F6314,10^2,9,0.5,
671,DI,626,10^2,9,0.5,
F6327,DI,F6328,10^2,9,0.5,
F6329,DI,F6330,10^2,9,0.5,
F6314,RC,F6313,,10,0.5,10^2
626,RC,671,,10,3.45,10^2
F6328,RC,F6327,,10,0.5,10^2
F6330,RC,F6329,,10,3.45,10^2
F6313,DI,F6314,10^2,11,0.5,
671,DI,626,10^2,11,0.5,
F6327,DI,F6328,10^2,11,0.5,
F6329,DI,F6330,10^2,11,0.5,
F6314,RC,F6313,,12,0.5,10^2
626,RC,671,,12,0.5,10^2
F6328,RC,F6327,,12,0.5,10^2
F6330,RC,F6329,,12,0.5,10^2
F6313,DI,F6314,10^2,13,0.5,
671,DI,626,10^2,13,0.5,
F6327,DI,F6328,10^2,13,0.5,
F6329,DI,F6330,10^2,13,0.5,
F6314,RC,F6313,,14,0.5,10^2
626,RC,671,,14,0.5,10^2
F6328,RC,F6327,,14,0.5,10^2
F6330,RC,F6329,,14,0.5,10^2
11,DI,7430,10^1,1,0.5,
7433,DI,7434,10^1,1,0.5,
7423,DI,7426,10^1,1,0.5,
7427,DI,7,10^1,1,0.5,
7430,RC,11,,2,0.5,10^1
7434,RC,7433,,2,0.5,10^1
7426,RC,7423,,2,0.5,10^1
7,RC,7427,,2,0.5,10^1
11,DI,7430,10^1,3,0.5,
7433,DI,7434,10^1,3,1.5,
7423,DI,7426,10^1,3,0.5,
7427,DI,7,10^1,3,1.5,
7430,RC,11,,4,0.5,10^1
7434,RC,7433,,4,0.5,10^1
7426,RC,7423,,4,0.5,10^1
7,RC,7427,,4,0.5,10^1
11,DI,7430,10^1,5,2.45,
7433,DI,7434,10^1,5,0.7,
7423,DI,7426,10^1,5,0.5,
7427,DI,7,10^1,5,2.2,
7430,RC,11,,6,0.5,10^1
7434,RC,7433,,6,1,10^1
7426,RC,7423,,6,0.5,10^1
7,RC,7427,,6,0.5,10^1
11,DI,7430,10^1,7,2.2,
7433,DI,7434,10^1,7,2.45,
7423,DI,7426,10^1,7,0.5,
7427,DI,7,10^1,7,1,
7430,RC,11,,8,0.5,10^1
7434,RC,7433,,8,1.7,10^1
7426,RC,7423,,8,0.5,10^1
7,RC,7427,,8,0.5,10^1
11,DI,7430,10^1,9,2.2,
7433,DI,7434,10^1,9,0.5,
7423,DI,7426,10^1,9,0.5,
7427,DI,7,10^1,9,0.5,
7430,RC,11,,10,0.5,10^1
7434,RC,7433,,10,1.5,10^1
7426,RC,7423,,10,0.5,10^1
7,RC,7427,,10,0.5,10^1
11,DI,7430,10^1,11,0.5,
7433,DI,7434,10^1,11,0.5,
7423,DI,7426,10^1,11,0.5,
7427,DI,7,10^1,11,0.5,
7430,RC,11,,12,0.5,10^1
7434,RC,7433,,12,0.5,10^1
7426,RC,7423,,12,0.5,10^1
7,RC,7427,,12,0.5,10^1
11,DI,7430,10^1,13,0.5,
7433,DI,7434,10^1,13,0.5,
7423,DI,7426,10^1,13,0.5,
7427,DI,7,10^1,13,0.5,
7430,RC,11,,14,0.5,10^1
7434,RC,7433,,14,0.5,10^1
7426,RC,7423,,14,0.5,10^1
7,RC,7427,,14,0.5,10^1
5,DI,7442,10^0,1,0.5,
7437,DI,7443,10^0,1,0.5,
7418,DI,7422,10^0,1,0.5,
7419,DI,7424,10^0,1,0.5,
7442,RC,5,,2,0.5,10^0
7443,RC,7437,,2,0.5,10^0
7422,RC,7418,,2,0.5,10^0
7424,RC,7419,,2,0.5,10^0
5,DI,7442,10^0,3,0.5,
7437,DI,7443,10^0,3,0.5,
7418,DI,7422,10^0,3,0.5,
7419,DI,7424,10^0,3,0.5,
7442,RC,5,,4,0.5,10^0
7443,RC,7437,,4,0.5,10^0
7422,RC,7418,,4,0.5,10^0
7424,RC,7419,,4,0.5,10^0
5,DI,7442,10^0,5,0.5,
7437,DI,7443,10^0,5,0.5,
7418,DI,7422,10^0,5,0.5,
7419,DI,7424,10^0,5,0.5,
7442,RC,5,,6,0.5,10^0
7443,RC,7437,,6,0.5,10^0
7422,RC,7418,,6,0.5,10^0
7424,RC,7419,,6,0.5,10^0
5,DI,7442,10^0,7,0.5,
7437,DI,7443,10^0,7,0.5,
7418,DI,7422,10^0,7,0.5,
7419,DI,7424,10^0,7,0.5,
